country,year,percent_of_gdp
JPN,1983,4.365
JPN,1984,4.416
JPN,1985,4.549
JPN,1986,4.808
JPN,1987,4.856
JPN,1988,4.764
JPN,1989,4.753
JPN,1990,4.718
JPN,1991,4.752
JPN,1992,4.999
JPN,1993,5.282
JPN,1994,5.561
JPN,1995,5.873
JPN,1996,5.978
JPN,1997,6.164
JPN,1998,6.561
JPN,1999,6.85
JPN,2000,7.002
JPN,2001,7.291
JPN,2002,7.587
JPN,2003,7.773
JPN,2004,7.931
JPN,2005,8.084
JPN,2006,8.202
JPN,2007,8.35
JPN,2008,8.826
JPN,2009,9.605
JPN,2010,9.605
JPN,2011,9.715
JPN,2012,9.781
JPN,2013,9.726
JPN,2014,9.46
JPN,2015,9.391
JPN,2016,9.375
JPN,2017,9.358
GBR,1980,5.253
GBR,1981,5.536
GBR,1982,5.601
GBR,1983,5.515
GBR,1984,5.404
GBR,1985,5.279
GBR,1986,5.248
GBR,1987,4.941
GBR,1988,4.537
GBR,1989,4.311
GBR,1990,4.473
GBR,1991,4.846
GBR,1992,5.122
GBR,1993,5.186
GBR,1994,4.951
GBR,1995,4.624
GBR,1996,4.625
GBR,1997,4.613
GBR,1998,4.62
GBR,1999,4.737
GBR,2000,4.764
GBR,2001,4.916
GBR,2002,4.909
GBR,2003,4.906
GBR,2004,4.999
GBR,2005,5.01
GBR,2006,4.757
GBR,2007,5.331
GBR,2008,5.715
GBR,2009,6.18
GBR,2010,6.199
GBR,2011,6.223
GBR,2012,6.364
GBR,2013,6.28
GBR,2014,6.238
GBR,2015,6.144
GBR,2016,5.73
GBR,2017,5.629
USA,1980,5.967
USA,1981,6.237
USA,1982,6.561
USA,1983,6.49
USA,1984,6.211
USA,1985,6.027
USA,1986,6.035
USA,1987,5.949
USA,1988,5.916
USA,1989,5.827
USA,1990,5.841
USA,1991,6.073
USA,1992,6.106
USA,1993,6.112
USA,1994,6.057
USA,1995,6.043
USA,1996,5.958
USA,1997,5.93
USA,1998,5.82
USA,1999,5.683
USA,2000,5.653
USA,2001,5.727
USA,2002,5.857
USA,2003,5.864
USA,2004,5.802
USA,2005,5.742
USA,2006,5.716
USA,2007,5.784
USA,2008,5.951
USA,2009,6.515
USA,2010,6.613
USA,2011,6.71
USA,2012,6.754
USA,2013,6.902
USA,2014,6.957
USA,2015,7.013
USA,2016,7.129
USA,2017,7.077


