"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PENSIONEXP","PUB","PC_GDP","A","2013",4.094,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2014",4.241,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2015",4.324,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2016",4.181,
"AUS","PENSIONEXP","PUB","PC_GDP","A","2017",3.993,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2001",0.17274225679909,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2002",0.1583432869406,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2003",0.15058065026999,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2004",0.16306739564377,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2005",0.17711303625547,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2006",0.18168552325973,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2007",0.27549809751087,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2008",0.19658583195486,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2009",0.19962036875475,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2010",0.2283970059241,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2013",0.30337050207125,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2014",0.30657995306984,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2015",0.29503072477607,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2016",0.24051950476492,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2017",0.23494626672092,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2018",0.24049316084162,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2019",0.25490746055439,
"AUT","PENSIONEXP","PRIV","PC_GDP","A","2020",0.2739649898674,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1980",10.358,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1985",11.275,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1990",11.273,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1991",11.363,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1992",11.43,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1993",11.941,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1994",12.195,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1995",12.206,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1996",12.247,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1997",12.073,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1998",11.968,
"AUT","PENSIONEXP","PUB","PC_GDP","A","1999",11.985,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2000",11.889,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2001",12.038,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2002",12.121,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2003",12.28,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2004",12.115,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2005",11.948,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2006",11.876,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2007",11.711,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2008",11.934,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2009",12.815,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2010",12.961,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2011",12.714,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2012",12.996,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2013",13.266,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2014",13.403,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2015",13.312,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2016",13.153,
"AUT","PENSIONEXP","PUB","PC_GDP","A","2017",12.975,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2001",1.3353787184363,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2002",1.4073987057553,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2003",1.3637430114203,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2004",1.3522144093906,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2005",1.2694780837002,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2006",1.2575845389518,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2007",2.6507727063791,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2008",2.5666978425501,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2009",3.1756581305632,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2010",2.8374122754,
"BEL","PENSIONEXP","PRIV","PC_GDP","A","2011",3.6436358230678,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1980",8.791,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1981",9.289,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1982",9.341,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1983",9.544,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1984",9.247,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1985",9.195,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1986",9.225,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1987",9.142,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1988",9.331,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1989",9.045,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1990",8.998,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1991",9.314,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1992",9.424,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1993",9.637,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1994",9.49,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1995",9.222,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1996",9.355,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1997",9.177,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1998",9.122,
"BEL","PENSIONEXP","PUB","PC_GDP","A","1999",8.979,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2000",8.814,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2001",8.907,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2002",8.941,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2003",9.02,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2004",8.926,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2005",8.925,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2006",8.871,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2007",8.757,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2008",9.361,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2009",10.013,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2010",9.892,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2011",10.126,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2012",9.998,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2013",10.32,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2014",10.349,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2015",10.531,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2016",10.361,
"BEL","PENSIONEXP","PUB","PC_GDP","A","2017",10.51,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2000",2.0142414337293,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2001",2.1851516282044,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2002",2.1804641725601,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2003",2.1870552390243,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2004",2.2790344762531,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2005",2.0925407466288,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2006",2.2616784399881,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2007",2.3188124698525,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2008",2.3272731332538,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2009",2.6571123643987,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2010",2.9494948524892,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2011",2.9325367813883,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2012",3.0970867463404,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2013",3.1628384747091,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2014",3.2818720556139,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2015",3.7090775360837,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2016",3.7547610878114,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2017",4.4873941964113,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2018",4.391914907349,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2019",4.3207461596253,
"CAN","PENSIONEXP","PRIV","PC_GDP","A","2020",4.8519550728943,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1980",3.106,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1981",3.262,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1982",3.526,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1983",3.602,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1984",3.691,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1985",3.806,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1986",3.909,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1987",3.973,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1988",3.953,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1989",4.015,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1990",4.2,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1991",4.502,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1992",4.667,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1993",4.705,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1994",4.637,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1995",4.611,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1996",4.615,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1997",4.576,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1998",4.52,
"CAN","PENSIONEXP","PUB","PC_GDP","A","1999",4.329,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2000",4.172,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2001",4.222,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2002",4.169,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2003",4.147,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2004",4.075,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2005",4.011,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2006",3.994,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2007",4,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2008",4.107,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2009",4.43,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2010",4.285,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2011",4.284,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2012",4.448,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2013",4.459,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2014",4.529,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2015",4.712,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2016",4.825,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2017",4.807,
"CAN","PENSIONEXP","PUB","PC_GDP","A","2018",4.868,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2001",0.17584639137444,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2002",0.19412281464536,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2003",0.2113908789666,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2004",0.17583033553769,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2007",0.23784416404783,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2008",0.30421909242467,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2009",0.41211341014384,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2010",0.43001349906208,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2011",0.47314699003501,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2012",0.60388638835954,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2013",0.29884349056715,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2014",0.31387849690941,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2015",0.34092255811309,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2016",0.44636443366335,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2017",0.44452761565197,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2018",0.41802991497625,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2019",0.40317980888195,
"CZE","PENSIONEXP","PRIV","PC_GDP","A","2020",0.45717612913094,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1990",5.54,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1991",6.026,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1992",6.131,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1993",5.687,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1994",5.505,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1995",5.824,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1996",5.999,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1997",6.687,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1998",6.725,
"CZE","PENSIONEXP","PUB","PC_GDP","A","1999",6.873,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2000",6.844,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2001",6.781,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2002",6.985,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2003",6.816,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2004",6.517,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2005",6.648,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2006",6.579,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2007",6.778,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2008",7.077,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2009",7.872,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2010",8.031,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2011",8.347,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2012",8.562,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2013",8.603,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2014",8.333,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2015",8.032,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2016",7.896,
"CZE","PENSIONEXP","PUB","PC_GDP","A","2017",7.7,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2002",3.0348684175301,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2003",3.1066114131212,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2004",3.1604148592224,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2005",3.3451893154772,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2006",3.7224984422401,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2007",3.2044215277907,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2008",3.9713710744451,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2009",4.1196123313849,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2010",4.3797104616668,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2011",4.7721108148272,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2012",4.8781440657854,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2013",5.7610082952358,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2014",6.4290351676217,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2015",4.7811870534217,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2016",4.0339195128805,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2017",4.6542490016651,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2018",5.3135108777179,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2019",5.2388435207312,
"DNK","PENSIONEXP","PRIV","PC_GDP","A","2020",5.1050958303953,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1980",5.685,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1981",5.678,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1982",5.638,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1983",5.592,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1984",5.519,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1985",5.486,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1986",5.404,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1987",5.517,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1988",5.789,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1989",6.06,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1990",6.099,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1991",6.242,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1992",6.244,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1993",6.365,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1994",7.348,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1995",7.232,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1996",7.054,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1997",6.783,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1998",6.73,
"DNK","PENSIONEXP","PUB","PC_GDP","A","1999",6.574,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2000",6.307,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2001",6.324,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2002",6.277,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2003",6.409,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2004",6.282,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2005",6.456,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2006",6.505,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2007",6.267,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2008",6.362,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2009",7.011,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2010",7.134,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2011",7.414,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2012",7.607,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2013",7.821,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2014",7.971,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2015",8.055,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2016",7.882,
"DNK","PENSIONEXP","PUB","PC_GDP","A","2017",8.031,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2004",0.34675417931695,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2005",0.50240759744242,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2006",0.45994435993684,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2007",0.48056363325351,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2008",0.52608550176306,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2009",0.63054685909534,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2010",0.59263432601798,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2011",0.64445095405004,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2012",0.69191243402956,
"FIN","PENSIONEXP","PRIV","PC_GDP","A","2013",0.63184890442001,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1980",5.427,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1981",5.643,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1982",5.845,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1983",6.281,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1984",7.07,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1985",7.247,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1986",7.218,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1987",7.458,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1988",7.073,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1989",6.909,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1990",7.162,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1991",8.312,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1992",9.258,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1993",9.13,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1994",8.881,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1995",8.533,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1996",8.732,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1997",8.141,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1998",7.666,
"FIN","PENSIONEXP","PUB","PC_GDP","A","1999",7.626,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2000",7.392,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2001",7.481,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2002",7.774,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2003",7.987,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2004",7.949,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2005",8.045,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2006",8.101,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2007",7.924,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2008",8.002,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2009",9.428,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2010",9.755,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2011",9.793,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2012",10.447,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2013",11.046,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2014",11.46,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2015",11.528,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2016",11.75,
"FIN","PENSIONEXP","PUB","PC_GDP","A","2017",11.844,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2009",0.34909745912823,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2010",0.36841780814709,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2011",0.34153254348467,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2012",0.32769948736215,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2013",0.40733255273856,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2014",0.2779985927299,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2015",0.28643979945707,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2016",0.38585823814956,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2017",0.3975405720645,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2018",0.44827382248664,
"FRA","PENSIONEXP","PRIV","PC_GDP","A","2019",0.79404832963097,
"FRA","PENSIONEXP","PUB","PC_GDP","A","1980",9.25,
"FRA","PENSIONEXP","PUB","PC_GDP","A","1981",9.511,
